ID,Name
317,Bit Bot Media
318,BitFinity
319,Bithell Games
320,Bitmap Bureau
321,Bitmen Studios
322,Bitwave Games
323,Bizarre Creations
324,Black Bean Games
325,Black Forest Games
326,Black Isle Studios
327,Black Label Games
328,Black Pearl Software
329,Black Sea Studios
330,Black inc
331,Blacklight Interactive
332,Blackmill Games
333,Blast! Entertainment
334,Blaze Entertainment
335,Blaze Epic
336,Blendo Games
337,BlitWise Productions
338,BlitWorks
339,Blizzard Classic Arcade
340,Blizzard Entertainment
341,Bloober Team
342,Bloodious Games
343,Blowfish Studios
344,Blue Brain Games
345,Blue Byte Software
346,Blue Isle Publishing
347,Blue Monkey Studios
348,Blue Moon Red Owl
349,Blue Wizard Digital
350,Bluehole Studio
351,Blyts
352,Bohemia Interactive
353,Bohemia Interactive Studio
354,Bojrkraider
355,Bold Games
356,Bomico Entertainment Software
357,BonusXP
358,Borealys Games
359,Born Ready Games
360,Boss Team Games
361,Bossa Studios
362,Brace Yourself Games
363,Brain&Brain
364,BrainGame Publishing GmbH
365,Brash Entertainment
366,Brasoft Produtos de Informática
367,Brighter Child
368,Brilliant Game Studios
369,Broccoli
370,Broderbund
371,Broken Rules
372,Brøderbund Software
373,Budcat Creations
374,Buddy Productions GmbH
375,Buena Vista Games
376,Buena Vista Interactive
377,Buena Vista Software
378,BugFactory
379,Buka Entertainment
380,Bukster Games
381,Bulbware
382,BulkyPix
383,Bulldog Interactive
384,Bullet-Proof Software
385,Bullfrog Productions
386,Bungie
387,Burger King
388,Burgos Games
389,Bushiroad
390,Bushiroad Games
391,ByteRockers' Games
392,CAPRICORN
393,CAVE Interactive
394,CBE Software s.r.o.
395,CBE software
396,CBS Electronics
397,CBS/Sony Group
398,CCP
399,CD Projekt RED
400,CDE Entertainment
401,CDV Software
402,CDW Software
403,CI Games
404,CIRCLE Entertainment
405,CITY interactive Sp. z o.o.
406,CNEC Inc.
407,COWCAT
408,CRL Group PLC
409,CSG Imagesoft
410,CSK Research Institute
411,CTW Software Group
412,Caketown Interactive
413,California Dreams
414,Calvino Noir Limited
415,Camerica
416,Candystand.com
417,Capcom
418,Capcom Co.
419,Capcom Europe
420,Capcom USA
421,Caprino Video Games
422,Capstone Software
423,Capybara Games
424,Carbon Fire Studio
425,Cardboard Computer
426,Cardillo Family Toys
427,Carlos Coronado
428,Caroline Software Incorporated
429,Carpe Fulgur LLC
430,Cartoon Network
431,Cartoon Network Games
432,Cartoon Network Interactive
433,Cary Huang
434,Casady & Greene
435,Cascade Games
436,Cellar Door Games
437,Cenega Publishing
438,Centuri
439,Champ Games
440,Chandler Groover
441,Channel 4 DVD
442,Channel 8 Software
443,Cheesecake Dev
444,Chibig
445,Chicago Coin
446,Chilla's Art
447,Chillingo
448,ChillyRoom
449,Choice Provisions
450,Chorus Worldwide
451,Chuanpu
452,Chubby Pixel
453,Chucklefish Games
454,Cinematronics
455,Cinergi Interactive
456,Cipher Prime Studios
457,Circle Five Studios
458,City Connection
459,City Interactive
460,City Interactive S.A.
461,Class6 Interactive
462,Classics Digital
463,Clever Endeavour Games
464,Clever Plays Studio
465,Clickteam
466,Climax Entertainment
467,Climax Group
468,Clouded Leopard Entertainment Inc.
469,Clover
470,Coastal Amusements
471,Cococucumber
472,Coconut Island Games
473,Coconuts Japan
474,Codemasters
475,Codename Entertainment
476,Coffee Stain Publishing
477,Coffee Stain Studios
478,Cognosphere
479,Coke Cat Studio
480,Coktel Vision
481,Coleco
482,Colin
483,Color Dreams
484,Commin
485,Commodore
486,Commodore Business Machines
487,Commodore Electronics Ltd.
488,Commodore Gaming
489,Commodore Japan
490,ComonGames
491,Compac Inc
492,Compile
493,Compile Heart
494,Comptiq
495,Computer Recreations
496,ConcernedApe
497,Connect2Media
498,Console Labs S.A.
499,Conspiracy Entertainment
500,Conspiracy Games
501,Consumer Softproducts
502,Coolmath Games
503,Core Design
504,Cornfox & Bros.
505,Cosmic Forces
506,Cosmo D Studios
507,Cost
508,CounterCurrent Games
509,CowQuack
510,Cranky Watermelon
511,Crate Entertainment
512,Craul Denshi
513,Crave
514,Crave Entertainment
515,Crawfish Interactive
516,Crazy Monkey Studios
517,Creaky Corpse
518,Creative Dimensions
519,Creative Sparks
520,Creators of Create
521,Creepy Jar
522,CremaGames
523,Crim
524,Crimson Cow
525,Cross Media Soft
526,CrossFunction
527,Crowbar Collective
528,Crows Crows Crows
529,Crucial Entertainment
530,Crunching Koalas
531,Crunchyroll Games
532,CryZENx
533,Cryo Interactive
534,Cryo Interactive Entertainment
535,Crypton Future Media
536,Crystal Dynamics
537,Crystal Shard
538,Crytek
539,Crytivo
540,Culture Brain
541,Culture Brain Excel
542,Curve Digital
543,Curve Studios
544,Cyan Worlds
545,CyberFront
546,CyberFront Korea
547,CyberLight Game Studio
548,Cyberdreams
549,Cybird
550,Cygames
551,D'Avekki Studios
552,D-Pad Studio
553,D-dub software
554,D.W.S.
555,D3 Publisher
556,D3Publisher
557,D4 Enterprise
558,DANGEN Entertainment
559,DC Comics
560,DC Entertainment
561,DECA Games
562,DIC Entertainment
563,DICE Los Angeles
564,DK'Tronics Ltd
565,DLsite
566,DMM GAMES
567,DON'T NOD
568,DR Studios
569,DSI Games
570,DTMC
571,DTP Entertainment
572,DVloper
573,Daedalic Entertainment
574,Daedalic Studio West
575,DahJee
576,Dani
577,Daniel Mullins Games
578,Dark Energy Digital
579,Dark Horse
580,Dark Prince
581,Darril Arts
582,Data Age
583,Data Design Interactive
584,Data East
585,Data East Corporation
586,Data East USA
587,Databyte
588,Datamost
589,Datasoft
590,David OReilly
591,David Szymanski
592,David Wehle
593,Davidson & Associates
594,Davilex Games
595,Davilex Software B.V.
596,Daybreak CG
597,Daybreak Game Company
598,DeNA Co.
599,Dear Villagers
600,Deck13 Interactive
601,Deep Silver
602,Deep-Sea Prisoner
603,Defiant Development
604,Degica Games
605,Delta
606,Dempa Shimbunsha
607,Demruth
608,Denda Multimedia
609,Destination Software
610,Destination Software Inc.
611,Destineer
612,Destructive Creations
613,Devolver Digital
614,Devsisters
615,Devster Specialties
616,Dharker Studio
617,Diax Game AB
618,Dice Multi Media Europe
619,Dicesuki
620,Die Gute Fabrik
621,Digerati Distribution
622,DigiPen Institute of Technology
623,Digiplay
624,Digital Crafter
625,Digital Dragons
626,Digital Dreams Entertainment LLC
627,Digital Eclipse
628,Digital Extremes
629,Digital Fantasia
630,Digital Happiness
631,Digital Homicide Studios
632,Digital Jesters
633,Digital Leisure
634,Digital Leisure Inc.
635,Digital Magic Software
636,Digital Pictures
637,Digital Reality
638,Digital Touch
639,Digital Uppercut Productions
640,DigitalDNA Games LLC
641,Dinamic Multimedia
642,Dinamic Software
643,Dingaling
644,Discovery Communications
645,Disney Electronic Content
646,Disney Games
647,Disney Interactive
648,Disney Interactive - US
649,Disney Interactive Studios
650,Disney Mobile
651,Disney Online
652,Disney Platform Distribution
653,Disruptor Beam
654,Distractionware
655,Diversions Entertainment
656,Djinnworks
657,Doborog Games
658,DoctorM64
659,Dogwood Gaming
660,Dolores Entertainment
661,Domark Ltd.
662,Domark Software
663,Dominique Grieshofer
664,Don Bluth Multimedia
665,Donald Brown
666,Dong Seo Interactive
667,Dorling Kindersley
